FileName,X1,Y1,X2,Y2,X3,Y3,Frame
0X100009310A3BD7FC.avi,51.26041667,15.34895833,50.3482871,68.36085877,79.33392349,67.02362953,46
0X100009310A3BD7FC.avi,56,19.54166667,54.41959658,58.38095137,70.31174597,60.71738172,61
0X1002E8FBACD08477.avi,48.16145833,20.63541667,58.002331,72.96037296,80.03030303,70.97902098,3
0X1002E8FBACD08477.avi,52.53645833,27.015625,55.78787879,64.68531469,77.58275058,62.35431235,18
0X1005D03EED19C65B.avi,65.84375,20.27083333,70.70629371,69.34731935,92.26806527,63.98601399,24
0X1005D03EED19C65B.avi,64.56770833,24.828125,66.62703963,64.68531469,88.77156177,57.92540793,35
0X10075961BC11C88E.avi,57.640625,24.09895833,53.18518519,75.62962963,78.22222222,73.11111111,91
0X10075961BC11C88E.avi,54.359375,25.73958333,50.66666667,68.96296296,74.96296296,68.81481481,108
0X10094BA0A028EAC3.avi,61.65104167,22.09375,51.41579732,91.55737705,78.0923994,86.63934426,137
0X10094BA0A028EAC3.avi,57.640625,25.19270833,49.92548435,85.89418778,80.32786885,81.72131148,156
0X100CF05D141FF143.avi,47.61458333,21.36458333,49.25705034,76.19621942,73.47583146,75.72718611,132
0X100CF05D141FF143.avi,50.53125,22.640625,48.74772925,68.2976858,70.80801683,68.5400199,148
0X100E3B8D3280BEC5.avi,54.359375,27.38020833,60.97948006,75.6838552,84.15557875,72.49027171,25
0X100E3B8D3280BEC5.avi,60.19270833,27.5625,58.17259504,69.47314221,80.5883723,69.32353767,38
0X100E491B3CD58DE2.avi,50.34895833,17.90104167,57.52608048,75.01490313,81.37108793,68.30849478,49
0X100E491B3CD58DE2.avi,49.984375,16.625,56.03576751,71.58718331,80.92399404,64.88077496,75
0X100F044876B98F90.avi,52.26666667,16.1,61.56654507,63.73912452,84.66178171,59.72629496,56
0X100F044876B98F90.avi,50.4,15.63333333,60.09376929,56.9258814,78.72122897,54.16368691,72
0X101026B90DAE7E95.avi,39.77604167,27.5625,59.68208092,86.69942197,88.29479769,73.40462428,45
0X101026B90DAE7E95.avi,43.78645833,28.29166667,57.22543353,82.65317919,85.40462428,70.80346821,62
0X1012703CDC1436FE.avi,48.70833333,30.47916667,53.35413417,96.3525741,91.41965679,90.11232449,154
0X1012703CDC1436FE.avi,57.27604167,30.296875,52.10608424,90.58034321,88.45553822,88.08424337,172
0X1013E8A4864781B.avi,47.43229167,23.734375,47.96028877,65.81306545,53.59858185,69.80307384,35
0X1013E8A4864781B.avi,53.8125,28.109375,49.67561043,62.85387393,53.93056234,66.68959554,46
0X1018521A3BC5CDBA.avi,49.984375,17.71875,54.13416537,68.89547582,77.37909516,70.61154446,42
0X1018521A3BC5CDBA.avi,54.72395833,19.17708333,52.57410296,62.49921997,76.44305772,64.37129485,57
0X101C388397F66EDB.avi,57.45833333,28.65625,51.87629463,88.92510166,81.03067482,91.29358051,46
0X101C388397F66EDB.avi,59.28125,30.11458333,54.46983585,82.33277865,77.28224966,85.47572037,62
0X101CFC9C5351DCBE.avi,52.171875,30.296875,46.00940223,83.67940204,79.6288175,82.11574721,59
0X101CFC9C5351DCBE.avi,47.43229167,29.203125,45.56226154,78.57408374,73.37290844,76.30960472,73
0X101E654AF3FC07A8.avi,53.44791667,21.18229167,54.32634033,64.45221445,77.64530551,60.40983607,109
0X101E654AF3FC07A8.avi,55.63541667,23.734375,53.35320417,60.70789866,72.28017884,57.42921013,132
0X10267ADF2E644E0.avi,46.88541667,24.09895833,58.86736215,84.55290611,78.53949329,78.44262295,150
0X10267ADF2E644E0.avi,52.71875,26.46875,53.94932936,68.45752608,76.90014903,68.30849478,172
0X102AE9C68B2C46DA.avi,55.81770833,16.44270833,48.43517139,70.09687034,71.38599106,66.37108793,48
0X102AE9C68B2C46DA.avi,55.63541667,18.265625,47.6900149,65.77496274,71.83308495,62.79433681,63
0X102C51641C321436.avi,52.35416667,20.81770833,45.35311781,72.44527001,76.37069587,73.00702286,0
0X102C51641C321436.avi,53.265625,22.45833333,45.5950627,65.77167358,72.13501565,66.75921578,15
0X102CFB07F752AAE6.avi,61.10416667,27.5625,65.76966874,83.42740683,94.27421758,80.42803131,163
0X102CFB07F752AAE6.avi,64.38541667,26.83333333,65.50223916,76.75761461,87.85762297,77.17134966,184
0X102DD1B9BE03716.avi,56.72916667,11.33854167,49.77645306,78.44262295,77.19821162,72.77943368,52
0X102DD1B9BE03716.avi,51.98958333,13.16145833,44.70938897,69.50074516,73.62146051,65.62593145,71
0X102E453603FA1440.avi,53.43333333,14,52.90611028,73.67362146,83.45752608,74.56780924,46
